OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
11,1590364910,a198e5,39.574401855468750,-85.662788722826065,257.391710533993091,342.434199868761311,0.000000000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364909.855999946594238,1590364909.881000041961670
12,1590364920,a198e5,39.595843816207626,-85.672241210937500,256.077904357145258,339.417011081714634,-0.325120000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364919.857000112533569,1590364919.984999895095825
13,1590364930,a198e5,39.616745770987819,-85.684326171875000,253.766939523322776,333.123279479020255,0.000000000000000,EJM16   ,False,False,False,1420,9144.000000000000000,9532.620000000000800,1590364929.832000017166138,1590364929.950999975204468
14,1590364940,a198e5,39.636437367584747,-85.698974609375000,252.164160695688565,327.412261925020573,-5.527040000000000,EJM16   ,False,False,False,1420,9128.760000000000218,9509.760000000000218,1590364939.875000000000000,1590364939.957999944686890
15,1590364950,a198e5,39.654918605998411,-85.715881347656250,251.002810610217580,321.908729155931155,-10.728960000000001,EJM16   ,False,False,False,1420,9044.940000000000509,9425.940000000000509,1590364949.733999967575073,1590364949.976999998092651
16,1590364960,a198e5,39.671817068326270,-85.734985351562500,248.884583220929159,316.340007780899725,-10.403840000000001,EJM16   ,False,False,False,1420,8938.260000000000218,9319.260000000000218,1590364959.854000091552734,1590364959.970999956130981
17,1590364970,a198e5,39.687286376953125,-85.755097762398066,247.770351570829064,313.906380797868110,-10.728960000000001,EJM16   ,False,False,False,1420,8839.200000000000728,9212.579999999999927,1590364969.476999998092651,1590364969.915999889373779
18,1590364980,a198e5,39.702867410950738,-85.776367187500000,246.013984260760196,313.305352931462835,-10.403840000000001,EJM16   ,False,False,False,1420,8732.520000000000437,9098.280000000000655,1590364979.744999885559082,1590364979.974999904632568
19,1590364990,a198e5,39.717996888241522,-85.797119140625000,244.185384486807379,313.378049178159131,-10.078720000000001,EJM16   ,False,False,False,1420,8633.460000000000946,8999.220000000001164,1590364989.802999973297119,1590364989.802999973297119
20,1590365000,a198e5,39.732940156581037,-85.817687988281250,241.298366494814218,313.185808090970056,-10.078720000000001,EJM16   ,False,False,False,1420,8526.780000000000655,8900.159999999999854,1590364999.796000003814697,1590364999.917999982833862
