OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
24,1590364810,a3c185,41.492894059520658,-87.457878645076278,52.121581308331777,311.398721882776556,-1.300480000000000,N341FC  ,False,False,False,5320,1219.200000000000045,1226.819999999999936,1590364809.426000118255615,1590364809.858000040054321
25,1590364810,a390ff,44.268257011801509,-88.512005689667490,,,,AAY2110 ,True,True,False,4476,,,1590364809.953000068664551,1590364809.953000068664551
26,1590364820,abadd6,41.804281978283896,-87.679649175599536,120.872446783594484,71.642165234840164,10.078720000000001,SWA1384 ,False,False,False,1327,853.440000000000055,838.200000000000045,1590364814.066999912261963,1590364819.973000049591064
27,1590364820,a209c0,41.333685406183790,-86.946799538352252,154.864734219684294,330.113473059575995,-9.103360000000000,AAY2986 ,False,False,False,703,2865.120000000000346,2994.660000000000309,1590364819.875000000000000,1590364819.997999906539917
28,1590364820,a645b4,41.732638084282307,-87.898864746093750,144.030539590829022,196.816854290184551,13.004800000000001,GJS4520 ,False,False,False,1372,3261.360000000000127,3383.280000000000200,1590364819.046000003814697,1590364819.818000078201294
29,1590364820,a21127,41.900458901615465,-88.980762570403328,243.699350104312089,67.929070998608154,-0.325120000000000,ENY4267 ,False,False,False,2253,8839.200000000000728,9189.720000000001164,1590364819.815999984741211,1590364819.815999984741211
30,1590364820,a1d44e,41.754226684570312,-87.790811712091624,67.676276492044224,43.768022597360272,-2.926080000000000,SWA2132 ,False,False,False,2443,403.860000000000014,365.759999999999991,1590364817.482000112533569,1590364819.973000049591064
31,1590364820,a6d5e0,42.319522146451270,-87.926330566406250,103.136720535720187,149.085256098839608,0.000000000000000,N54DB   ,False,False,False,1573,5760.720000000000255,5981.700000000000728,1590364819.973999977111816,1590364819.973999977111816
32,1590364820,a390ff,44.268373392396050,-88.512340638695719,,,,AAY2110 ,True,True,False,4476,,,1590364819.572999954223633,1590364819.572999954223633
33,1590364820,a3c185,41.495178222656250,-87.461221868341624,53.534319094518651,312.273689006093718,0.000000000000000,N341FC  ,False,False,False,5320,1219.200000000000045,1219.200000000000045,1590364816.525000095367432,1590364819.973999977111816
34,1590364820,a2bec7,41.795111187433790,-88.089720260265267,181.271262017799614,267.397437797500174,19.832320000000003,SWA1081 ,False,False,False,1374,4297.680000000000291,4434.840000000000146,1590364819.796000003814697,1590364819.973999977111816
35,1590364820,a1c39a,41.795343948622879,-88.623834654342261,58.829095107875595,4.513988458001262,0.000000000000000,N2122M  ,False,False,False,5363,1089.660000000000082,1082.040000000000191,1590364816.779000043869019,1590364816.779000043869019
36,1590364820,a198e5,39.375698283567267,-85.581909179687500,249.258603093187872,342.462561773637105,0.000000000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364819.858000040054321,1590364819.993000030517578
37,1590364820,a26fc9,41.633155952065678,-87.959353424781966,134.705764034360101,57.159595728526519,-0.325120000000000,SWA312  ,False,False,False,2255,1234.440000000000055,1257.299999999999955,1590364819.973000049591064,1590364819.973999977111816
38,1590364820,a05646,42.024334406448624,-87.857602141624227,105.159450875552608,356.353728791243157,12.679680000000001,UAL931  ,False,False,False,6532,1135.380000000000109,1120.140000000000100,1590364818.226000070571899,1590364819.532999992370605
39,1590364820,a1e05f,41.611229848053497,-87.361173407975969,88.665136037141906,341.039416570620347,0.000000000000000,N22TP   ,False,False,False,4074,1089.660000000000082,1097.279999999999973,1590364813.344000101089478,1590364819.664999961853027
40,1590364820,aa80a7,41.539947509765625,-87.163779518821002,79.164223345779618,242.102728969052350,0.650240000000000,N776PS  ,False,False,False,,815.340000000000032,800.100000000000023,1590364777.987999916076660,1590364807.447999954223633
41,1590364820,abf29f,41.810287216962394,-87.829944699309578,135.595767278943214,249.571165449525694,15.605760000000000,SWA195  ,False,False,False,6555,1638.300000000000182,1661.160000000000082,1590364819.107000112533569,1590364819.809000015258789
42,1590364820,a0a332,42.887785313493112,-87.859824044363847,135.704047639705379,220.695531039492010,24.709120000000002,FDX383  ,False,False,False,4326,2156.460000000000036,2194.559999999999945,1590364819.733000040054321,1590364819.947000026702881
43,1590364820,acc799,41.784322706319514,-87.750772875408813,,,,SWA1063 ,True,False,False,6560,,,1590364817.188999891281128,1590364817.188999891281128
44,1590364820,abf3da,41.788627624511719,-87.745758403431296,63.685175209849270,43.363422958383282,-0.650240000000000,SWA282  ,True,False,False,1520,198.120000000000005,,1590364815.229000091552734,1590364816.970000028610229
45,1590364820,adb8cb,42.168972209348517,-87.947281238644621,40.546542789648939,125.706691400602892,-1.300480000000000,N9831G  ,False,False,False,5722,426.720000000000027,373.379999999999995,1590364819.818000078201294,1590364819.818000078201294
46,1590364820,4bb145,43.658798217773438,-85.265148074127865,249.929263576365543,224.249443203635735,-0.975360000000000,THY6185 ,False,False,False,703,9745.980000000001382,10142.220000000001164,1590364819.947000026702881,1590364819.947000026702881
47,1590364820,aaed7f,42.703033447265625,-88.317780928178252,78.438793477167465,175.486011541998721,0.000000000000000,N803F   ,False,False,False,2635,2468.880000000000109,2529.840000000000146,1590364819.796999931335449,1590364819.947000026702881
