OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
31,1590365280,89902f,45.964189949682201,-95.090103149414062,243.988049789255939,123.388513576111521,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365275.701999902725220,1590365277.782999992370605
32,1590365290,89902f,45.948211669921875,-95.055519662252266,243.842657333281181,123.555964132444387,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11590.020000000000437,1590365289.085999965667725,1590365289.085999965667725
33,1590365300,89902f,45.935979293564614,-95.029060363769531,244.127393312697279,123.656580808861577,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365299.460999965667725,1590365299.461999893188477
34,1590365310,89902f,45.922851562500000,-95.000855980849849,244.127393312697279,123.656580808861577,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365309.839999914169312,1590365309.839999914169312
35,1590365320,89902f,45.916671752929688,-94.987525009527417,244.127393312697279,123.656580808861577,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365315.039999961853027,1590365319.030999898910522
36,1590365330,89902f,45.899435786877646,-94.950439453125000,243.699350104312089,123.723613060503411,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365329.552999973297119,1590365329.552999973297119
37,1590365340,89902f,45.886322021484375,-94.922276938833818,243.699350104312089,123.723613060503411,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365339.931999921798706,1590365339.951999902725220
38,1590365350,89902f,45.875461384401483,-94.898872375488281,243.414113417787831,123.622897826959075,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365349.272000074386597,1590365349.272000074386597
39,1590365360,89902f,45.862519862288131,-94.870994567871094,243.414113417787831,123.622897826959075,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365359.644999980926514,1590365359.644999980926514
40,1590365370,89902f,45.851021459547141,-94.846275329589844,242.985902866478341,123.690067525979799,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365368.980999946594238,1590365368.980999946594238
41,1590365380,89902f,45.839290295617054,-94.821144104003906,242.417235978898191,123.926128848655935,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365379.361000061035156,1590365379.361999988555908
42,1590365390,89902f,45.825942993164062,-94.792718654725604,242.417235978898191,123.926128848655935,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365389.740000009536743,1590365389.740000009536743
43,1590365400,89902f,45.814682006835938,-94.768669314500755,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365399.023999929428101,1590365399.023999929428101
